iso3,country_name,year,pathogen,antibiotic,resistance_rate
BGR,Bulgaria,2001,Staphylococcus aureus,Meticillin (MRSA),27.18446601
BGR,Bulgaria,2002,Enterococcus faecium,Aminopenicillins,
BGR,Bulgaria,2002,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2002,Escherichia coli,Fluoroquinolones,14.07407407
BGR,Bulgaria,2002,Escherichia coli,Third-generation cephalosporins,13.33333333
BGR,Bulgaria,2002,Staphylococcus aureus,Meticillin (MRSA),32.75862068
BGR,Bulgaria,2003,Enterococcus faecium,Aminopenicillins,
BGR,Bulgaria,2003,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2003,Escherichia coli,Fluoroquinolones,19.3548387
BGR,Bulgaria,2003,Escherichia coli,Third-generation cephalosporins,18.35443037
BGR,Bulgaria,2003,Staphylococcus aureus,Meticillin (MRSA),31.21019108
BGR,Bulgaria,2004,Enterococcus faecium,Aminopenicillins,59.09090909
BGR,Bulgaria,2004,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2004,Escherichia coli,Fluoroquinolones,23.92638036
BGR,Bulgaria,2004,Escherichia coli,Third-generation cephalosporins,21.55688622
BGR,Bulgaria,2004,Staphylococcus aureus,Meticillin (MRSA),23.52941176
BGR,Bulgaria,2005,Enterococcus faecium,Aminopenicillins,96.15384615
BGR,Bulgaria,2005,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2005,Escherichia coli,Fluoroquinolones,28.57142857
BGR,Bulgaria,2005,Escherichia coli,Third-generation cephalosporins,28.07881773
BGR,Bulgaria,2005,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2005,Klebsiella pneumoniae,Fluoroquinolones,26.47058823
BGR,Bulgaria,2005,Klebsiella pneumoniae,Third-generation cephalosporins,50.0
BGR,Bulgaria,2005,Pseudomonas aeruginosa,Carbapenems,37.5
BGR,Bulgaria,2005,Staphylococcus aureus,Meticillin (MRSA),30.0
BGR,Bulgaria,2006,Enterococcus faecium,Aminopenicillins,96.55172413
BGR,Bulgaria,2006,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2006,Escherichia coli,Fluoroquinolones,26.17801047
BGR,Bulgaria,2006,Escherichia coli,Third-generation cephalosporins,28.57142857
BGR,Bulgaria,2006,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2006,Klebsiella pneumoniae,Fluoroquinolones,23.63636363
BGR,Bulgaria,2006,Klebsiella pneumoniae,Third-generation cephalosporins,60.0
BGR,Bulgaria,2006,Pseudomonas aeruginosa,Carbapenems,14.28571428
BGR,Bulgaria,2006,Staphylococcus aureus,Meticillin (MRSA),28.30188679
BGR,Bulgaria,2007,Enterococcus faecium,Aminopenicillins,
BGR,Bulgaria,2007,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2007,Escherichia coli,Fluoroquinolones,34.64566929
BGR,Bulgaria,2007,Escherichia coli,Third-generation cephalosporins,22.83464566
BGR,Bulgaria,2007,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2007,Klebsiella pneumoniae,Fluoroquinolones,41.37931034
BGR,Bulgaria,2007,Klebsiella pneumoniae,Third-generation cephalosporins,55.17241379
BGR,Bulgaria,2007,Pseudomonas aeruginosa,Carbapenems,
BGR,Bulgaria,2007,Staphylococcus aureus,Meticillin (MRSA),13.22314049
BGR,Bulgaria,2008,Enterococcus faecium,Aminopenicillins,93.10344827
BGR,Bulgaria,2008,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2008,Escherichia coli,Fluoroquinolones,31.50684931
BGR,Bulgaria,2008,Escherichia coli,Third-generation cephalosporins,29.25170068
BGR,Bulgaria,2008,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2008,Klebsiella pneumoniae,Fluoroquinolones,52.08333333
BGR,Bulgaria,2008,Klebsiella pneumoniae,Third-generation cephalosporins,73.46938775
BGR,Bulgaria,2008,Pseudomonas aeruginosa,Carbapenems,17.39130434
BGR,Bulgaria,2008,Staphylococcus aureus,Meticillin (MRSA),25.0
BGR,Bulgaria,2009,Enterococcus faecium,Aminopenicillins,96.42857142
BGR,Bulgaria,2009,Escherichia coli,Carbapenems,0.66225165
BGR,Bulgaria,2009,Escherichia coli,Fluoroquinolones,27.97927461
