iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
DZA,2012,41.69375880926434,26.334608320528886,171.21346986841982,62.895597941365565,15.514780977569954,20.350131765558274
DZA,2013,37.982926480674514,25.88530649629184,175.26169497269885,55.439649409627464,12.515516897642684,16.228982178694885
DZA,2014,39.99865218437861,25.971956416892187,185.90880515702108,56.22970955060943,25.852106383897983,22.398175709947655
DZA,2015,40.99840657709274,26.93976296774669,173.86548703203934,64.23148309855493,34.85902311259785,22.734198295467124
DZA,2016,40.45707782248961,26.581390543791468,182.47882845170022,66.08480363565772,21.440709606610273,22.760340508237498
DZA,2017,42.425258353862006,26.46984728064357,211.20902438950102,65.23534264643047,33.50749102490487,21.731178983247297
DZA,2018,43.01387315466314,26.569877332945033,204.37557928333678,64.9836193798221,35.42089901501201,21.532262062934528
ECU,2000,31.318090537487745,20.3023461572791,242.9335806297554,149.73757713131033,3.0898853870815435,8.472623333860737
ECU,2001,31.32113516173415,20.415965021336913,237.34393991403167,150.25547911254287,5.490647851413564,12.060586244946684
ECU,2002,32.124252199668575,21.353632112706094,258.49286960520436,186.2731466035293,3.7406116553349777,28.14650435698933
ECU,2003,32.33825560591957,21.247811861969645,265.6922444025226,168.5446145238111,5.925266156655119,22.6656814654604
ECU,2004,31.477343022470254,20.43985499322035,242.18122501179863,152.38313949048222,9.622336474740356,20.79651378205995
ECU,2005,32.70623319189406,20.54730296331904,268.86696168681897,146.89338634449123,7.964591228088982,19.43287882940812
ECU,2006,31.485807669433655,20.152908440082356,245.07009481722068,146.00996606756948,5.078789188538672,22.321251728379263
ECU,2007,30.78235235916916,20.432140616384327,214.9419936535495,141.70830945619147,8.200369758883696,19.463568053848068
ECU,2008,31.112888756348102,20.721917153254545,253.12895480662976,182.61771206837466,5.635259462828475,16.686036408222197
ECU,2009,31.519665007927617,19.834655411378368,228.27911516708664,145.38458397986133,9.169783517232315,27.87117505189969
ECU,2010,31.809151817815664,20.892858968516965,242.66297417641874,152.2622796768314,14.820293263404325,29.670666363442294
ECU,2011,31.01498626088794,20.753735784666855,255.09759336147286,182.03949567761424,12.566114519189476,19.016848249271952
ECU,2012,34.58049846594097,24.279504024201323,341.9448972597613,221.55621786117604,70.63239359229146,18.104497857518165
ECU,2013,33.19872684352461,22.761295440287146,207.49274188872164,183.6856379987022,7.84750303138514,29.149539581197853
ECU,2014,,24.662756149668052,,302.79426795166245,,26.449754976325515
ECU,2015,,25.132089592488427,,299.47668017982033,,53.741587755643415
ECU,2016,,24.96364249549882,,290.49228641580964,,23.101751497006223
ECU,2017,,23.877338432152836,,266.6651611124251,,37.60529597432028
ECU,2018,,27.28672377866377,,246.2531627895391,,
EGY,2000,42.51644101503974,27.614717551398964,218.2288169746884,96.92928766173414,7.185651627180148,18.950456755691054
EGY,2001,42.4139634008825,27.515164301819304,236.95785956845205,107.11321069516366,12.1009240294209,20.802789104662263
EGY,2002,43.61205313605768,28.786273365711065,233.7286067283907,110.41047893405174,13.337572172880103,22.12936721057755
EGY,2003,42.315061558131305,27.477954003959557,231.065676095929,110.30500958111799,15.336009854874156,21.53612947626562
EGY,2004,43.359608191392695,26.757321511869485,236.46587850150314,106.57563429557214,10.435260065185208,18.92718608608218
EGY,2005,41.703971237023005,27.119215822272317,233.36784440376707,103.52906324916215,5.286814842040797,19.343567345385544
EGY,2006,42.910681086057274,27.737070652716362,227.19571866918028,106.63136342663317,4.291723596726403,19.067732368011754
EGY,2007,42.86694446917653,28.146545130923347,233.99884606786335,113.06291422137105,19.981881194649098,22.599589381534383
EGY,2008,42.89813173370627,27.759286282415005,243.2222221510805,114.7471761050199,14.639060839147662,24.53389481606503
EGY,2009,42.03408143813707,27.78127818496159,236.01276649228348,115.07126467661233,11.526301557508173,26.39809557846073
EGY,2010,44.25806912247895,28.99759545095433,265.96658419968946,123.69395875069135,65.10841457586514,38.30242639673977
EGY,2011,41.98192339688694,27.199179831173307,217.51747810070339,97.19485020642529,6.206919638119397,20.149315896696503
EGY,2012,41.711827943653404,28.226090039199697,231.79888933144548,109.5362945866393,30.755964719631354,28.64382432849594
